,Company,Origin,REF,ReviewDate,CocoaPercent,CompanyLocation,Rating,BeanType,BroadBeanOrigin
184,Beschle (Felchlin),Maracaibo,636.0,2011,88.0,Switzerland,3.0,Criollo,Venezuela
185,Beschle (Felchlin),"Indigena Amazonia, Grand Cru, Quizas",636.0,2011,72.0,Switzerland,3.5, ,Venezuela
186,Beschle (Felchlin),Ecuador,636.0,2011,72.0,Switzerland,4.0, ,Ecuador
187,Beschle (Felchlin),"Carenero S., Barlovento, Grand Cru",508.0,2010,70.0,Switzerland,3.25,Trinitario,Venezuela
188,Beschle (Felchlin),"Porcelana, Premier Cru, Quizas No. 1",508.0,2010,74.0,Switzerland,3.25,Criollo (Porcelana),Venezuela
189,Beschle (Felchlin),"Java, Grand Cru",508.0,2010,64.0,Switzerland,3.5, ,Indonesia
190,Beschle (Felchlin),"Ocumare, Premier Cru, Quizas No. 2",508.0,2010,72.0,Switzerland,3.5, ,Venezuela
191,Bisou,"Nicaragua, American style",1482.0,2015,76.0,U.S.A.,2.5, ,Nicaragua
192,Bisou,"San Andres, American style",1486.0,2015,76.0,U.S.A.,2.5, ,Costa Rica
193,Bisou,"San Andres, silk",1486.0,2015,78.0,U.S.A.,2.5, ,Costa Rica
194,Bisou,Belize,1486.0,2015,86.0,U.S.A.,3.25,Trinitario,Belize
195,Bittersweet Origins,Ghana,963.0,2012,72.0,U.S.A.,3.5,Forastero,Ghana
196,Bittersweet Origins,"Bali, Singaraja",478.0,2010,75.0,U.S.A.,3.25, ,Indonesia
197,Bittersweet Origins,2009 Hapa Nibby,502.0,2010,70.0,U.S.A.,3.75,Blend,"Dominican Rep., Bali"
198,Bittersweet Origins,"Bali, Singaraja",558.0,2010,65.0,U.S.A.,2.75, ,Indonesia
199,Bittersweet Origins,"Sambirano, 2009",565.0,2010,70.0,U.S.A.,3.0,Trinitario,Madagascar
200,Bittersweet Origins,"Ocumare, prototype",565.0,2010,78.0,U.S.A.,3.0,Criollo,Venezuela
201,Bittersweet Origins,Puerto Plata,414.0,2009,75.0,U.S.A.,3.0, ,Dominican Republic
202,Bittersweet Origins,Puerto Plata,414.0,2009,65.0,U.S.A.,3.5, ,Dominican Republic
203,Bittersweet Origins,Sambirano,423.0,2009,75.0,U.S.A.,3.25,Trinitario,Madagascar
204,Bittersweet Origins,Sambirano,431.0,2009,65.0,U.S.A.,3.5,Trinitario,Madagascar
205,Bittersweet Origins,Sambirano,233.0,2008,71.0,U.S.A.,3.0,Trinitario,Madagascar
206,Bittersweet Origins,Bocas del Toro,233.0,2008,75.0,U.S.A.,3.5, ,Panama
207,Bittersweet Origins,Puerto Plata,233.0,2008,68.0,U.S.A.,3.75, ,Dominican Republic
208,Bittersweet Origins,Ankasa,256.0,2008,70.0,U.S.A.,3.0,Forastero,Ghana
209,Black Mountain,La Red,256.0,2008,70.0,U.S.A.,2.75, ,Dominican Republic
210,Black Mountain,Carenero Superior,256.0,2008,70.0,U.S.A.,2.75,Trinitario,Venezuela
211,Black Mountain,Matiguas,256.0,2008,70.0,U.S.A.,3.0, ,Nicaragua
212,Black River (A. Morin),Blue Mountain Region,1331.0,2014,70.0,U.K.,2.75,Trinitario,Jamaica
213,Blanxart,"Congo, Grand Cru",1046.0,2013,82.0,Spain,3.5,Forastero,Congo
214,Blanxart,Organic Dark,322.0,2009,72.0,Spain,2.75, , 
215,Blue Bandana,"Akesson's E., Sambirano V.",1740.0,2016,82.0,U.S.A.,3.5,Trinitario,Madagascar
216,Blue Bandana,Lachua,1752.0,2016,75.0,U.S.A.,2.75, ,Guatemala
217,Blue Bandana,Kokoa Kamili,1752.0,2016,75.0,U.S.A.,3.5, ,Tanzania
218,Blue Bandana,Zorzal Reserva,1756.0,2016,75.0,U.S.A.,3.0, ,Dominican Republic
219,Blue Bandana,Guatemala,911.0,2012,70.0,U.S.A.,3.5, ,Guatemala
220,Blue Bandana,Madagascar,911.0,2012,70.0,U.S.A.,3.75,Trinitario,Madagascar
221,Bonnat,Selva Maya,1912.0,2016,75.0,France,3.5, ,Mexico
222,Bonnat,Kaori,1339.0,2014,75.0,France,4.0, ,Brazil
223,Bonnat,"Los Colorados, Santo Domingo, Equateur",1418.0,2014,75.0,France,3.25, ,Dominican Republic
224,Bonnat,Surfin,1418.0,2014,65.0,France,3.75, ,"Venez,Africa,Brasil,Peru,Mex"
225,Bonnat,Maragnam,1038.0,2013,75.0,France,3.5, ,Brazil
226,Bonnat,Gabon,1042.0,2013,75.0,France,3.25, ,Gabon
227,Bonnat,Cuba,629.0,2011,75.0,France,3.5,Trinitario,Cuba
228,Bonnat,"Cusco, Cacao Cusco",629.0,2011,75.0,France,3.5, ,Peru
229,Bonnat,Piura Blanco,629.0,2011,75.0,France,3.5,Forastero (Nacional),Peru
230,Bonnat,Libanio,629.0,2011,75.0,France,3.75, ,Brazil
231,Bonnat,Haiti,629.0,2011,75.0,France,4.0, ,Haiti
232,Bonnat,"Madagascar, 100% criollo",629.0,2011,75.0,France,4.0,Criollo,Madagascar
233,Bonnat,Juliana,672.0,2011,75.0,France,3.5, ,Brazil
234,Bonnat,Jamaique,761.0,2011,75.0,France,3.25,Trinitario,Jamaica
235,Bonnat,Ivory Coast,331.0,2009,75.0,France,3.0, ,Ivory Coast
236,Bonnat,"Porcelana, Apotequil",336.0,2009,75.0,France,2.75,Criollo,Peru
237,Bonnat,"Porcelana, Tabasco, Marfil de Blanco",336.0,2009,75.0,France,3.0,Criollo,Mexico
238,Bonnat,"Xoconusco, cacao Real",395.0,2009,75.0,France,3.0,Criollo,Mexico
239,Bonnat,"Porcelana, Venezuela",199.0,2008,75.0,France,4.0,Criollo (Porcelana),Venezuela
240,Bonnat,Equateur,123.0,2007,75.0,France,2.5,Forastero (Arriba),Ecuador
241,Bonnat,Trinite,24.0,2006,75.0,France,3.75,Trinitario,Carribean
242,Bonnat,"Ocumare, Puerto Cabello",32.0,2006,75.0,France,4.0, ,Venezuela
243,Bonnat,"Maracaibo, El Rosario",48.0,2006,75.0,France,4.0,Criollo,Venezuela
244,Bonnat,Madagascar,75.0,2006,75.0,France,4.0,Trinitario,Madagascar
245,Bonnat,One Hundred,81.0,2006,100.0,France,1.5, , 
246,Bonnat,Ceylan,81.0,2006,75.0,France,3.0, ,Sri Lanka
247,Bonnat,Chuao,81.0,2006,75.0,France,4.0,Trinitario,Venezuela
248,Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",316.0,2009,77.0,Ecuador,3.25,Forastero (Arriba),Ecuador
249,Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",341.0,2009,100.0,Ecuador,1.5,Forastero (Arriba),Ecuador
250,Bowler Man,Maya Mountain,1267.0,2014,70.0,U.S.A.,2.75,Trinitario,Belize
251,Bowler Man,Conacado,1271.0,2014,70.0,U.S.A.,2.75, ,Dominican Republic
252,Brasstown aka It's Chocolate,"Guasare, Zulia Prov.",1868.0,2016,70.0,U.S.A.,3.5,Criollo,Venezuela
253,Brasstown aka It's Chocolate,"O'payo, Waslala",1868.0,2016,70.0,U.S.A.,3.75, ,Nicaragua
254,Brasstown aka It's Chocolate,Conacado,1462.0,2015,68.0,U.S.A.,3.75, ,Dominican Republic
255,Brasstown aka It's Chocolate,Maya Mountain,1255.0,2014,70.0,U.S.A.,3.75,Trinitario,Belize
256,Brasstown aka It's Chocolate,Chuao,1355.0,2014,70.0,U.S.A.,4.0,Trinitario,Venezuela
257,Brasstown aka It's Chocolate,Cooproagro,1125.0,2013,72.0,U.S.A.,3.0,Trinitario,Dominican Republic
258,Brasstown aka It's Chocolate,"Camino Verde, Guayas",1125.0,2013,70.0,U.S.A.,3.25, ,Ecuador
259,Brasstown aka It's Chocolate,Ghana,1129.0,2013,75.0,U.S.A.,3.5,Forastero,Ghana
260,Brasstown aka It's Chocolate,"Chuao, Mantuano blend",1129.0,2013,85.0,U.S.A.,3.5,Trinitario,Venezuela
261,Brazen,Elvesia P.,1514.0,2015,60.0,U.S.A.,3.0, ,Dominican Republic
262,Brazen,Elvesia P.,1514.0,2015,80.0,U.S.A.,3.25, ,Dominican Republic
263,Brazen,"Alta Verapaz, 2014",1514.0,2015,70.0,U.S.A.,3.5, ,Guatemala
264,Brazen,Ambolikapiky P.,1518.0,2015,80.0,U.S.A.,2.75, ,Madagascar
265,Brazen,Maya Mountain,1518.0,2015,80.0,U.S.A.,3.25,Trinitario,Belize
266,Brazen,Ambolikapkly P.,1518.0,2015,60.0,U.S.A.,3.25, ,Madagascar
267,Breeze Mill,Jamaica,1149.0,2013,70.0,U.S.A.,3.0,Trinitario,Jamaica
268,Bright,Somia Plantation,1231.0,2014,72.0,Australia,3.0,Trinitario,Madagascar
269,Bright,Marabel Farms,1231.0,2014,70.0,Australia,3.5, ,Dominican Republic
270,Bright,"Camino Verde, Balao, Guayas",1231.0,2014,72.0,Australia,3.5, ,Ecuador
271,Bright,Gran Couva,1235.0,2014,68.0,Australia,2.75,Trinitario,Trinidad
272,Britarev,Ecuador,1638.0,2015,70.0,Russia,3.25, ,Ecuador
273,Bronx Grrl Chocolate,Dominican Republic,1181.0,2013,68.0,U.S.A.,2.75, ,Dominican Republic
274,Burnt Fork Bend,Trinidad,1299.0,2014,72.0,U.S.A.,3.25,Trinitario,Trinidad
275,Burnt Fork Bend,Mindo,1299.0,2014,72.0,U.S.A.,3.5, ,Ecuador
276,Burnt Fork Bend,Belize,1303.0,2014,72.0,U.S.A.,3.25,Trinitario,Belize
277,Burnt Fork Bend,Blend,1303.0,2014,72.0,U.S.A.,3.25,Blend, 
278,Burnt Fork Bend,"Ecuador, Bob Bar",1323.0,2014,60.0,U.S.A.,2.5, ,Ecuador
279,Cacao Arabuco,Puerto Rico,1606.0,2015,70.0,Puerto Rico,2.5, ,Puerto Rico
280,Cacao Atlanta,Tumbes,1215.0,2014,75.0,U.S.A.,2.5,Criollo,Peru
281,Cacao Atlanta,"Dominican Republic, ""Love Bar""",502.0,2010,75.0,U.S.A.,2.5, ,Dominican Republic
282,Cacao Atlanta,Dominican Republic w/ nibs,502.0,2010,75.0,U.S.A.,2.75, ,Dominican Republic
